user_cid	business_cid	review_cid	stars
4149	464	0	4.0
1516	436	1	1.0
298	400	2	4.0
1733	2082	3	4.0
1071	1897	4	3.0
3952	1983	5	4.0
4147	1978	6	5.0
1309	1868	7	4.0
2680	1953	8	4.0
4120	1246	9	4.0
3431	665	10	3.0
2551	1316	11	5.0
1399	886	12	5.0
2154	54	13	5.0
363	1958	14	5.0
2920	1210	15	4.0
3972	68	16	5.0
871	1454	17	4.0
3964	74	18	4.0
816	1652	19	4.0
2444	1912	20	2.0
2868	1786	21	2.0
1930	2040	22	4.0
3677	1166	23	4.0
1181	162	24	4.0
1465	1117	25	3.0
1452	718	26	2.0
1463	337	27	4.0
2181	1634	28	4.0
3638	1189	29	3.0
3761	344	30	5.0
4254	1920	31	4.0
1687	24	32	4.0
2987	220	33	4.0
3737	1246	34	5.0
138	704	35	4.0
3616	1909	36	3.0
1754	1524	37	3.0
348	694	38	5.0
788	1266	39	1.0
413	960	40	3.0
3435	709	41	1.0
2373	256	42	5.0
3343	886	43	5.0
3403	834	44	4.0
3516	534	45	3.0
1235	2127	46	5.0
3380	1503	47	4.0
3395	906	48	4.0
411	225	49	4.0
1890	1172	50	2.0
500	1026	51	3.0
3593	2115	52	4.0
2861	1518	53	5.0
3507	2045	54	5.0
1602	1581	55	3.0
933	56	56	4.0
239	1929	57	4.0
3645	176	58	5.0
1502	523	59	5.0
1864	527	60	2.0
1508	574	61	4.0
2032	979	62	5.0
1653	1367	63	4.0
2944	1458	64	3.0
2254	948	65	2.0
3631	1956	66	5.0
3729	1704	67	3.0
3970	407	68	4.0
1455	1399	69	3.0
4028	804	70	5.0
487	1495	71	2.0
2048	1884	72	4.0
2990	72	73	5.0
3467	678	74	3.0
3918	1709	75	4.0
1893	344	76	4.0
14	1261	77	4.0
776	5	78	4.0
131	523	79	5.0
3213	1228	80	4.0
1151	1506	81	5.0
365	1611	82	2.0
1173	1197	83	4.0
975	1884	84	4.0
1092	784	85	2.0
183	1624	86	4.0
2308	1218	87	5.0
1861	1731	88	5.0
2267	1938	89	5.0
3823	533	90	4.0
766	313	91	2.0
2254	1894	92	5.0
638	1458	93	5.0
3313	1903	94	5.0
3554	670	95	3.0
3629	952	96	3.0
2239	1499	97	5.0
4123	975	98	3.0
3975	922	99	1.0
3556	29	100	3.0
247	1106	101	1.0
3617	1545	102	4.0
1135	741	103	4.0
166	466	104	4.0
1728	582	105	4.0
1971	1738	106	5.0
1237	1459	107	5.0
1344	1996	108	4.0
930	1839	109	1.0
3913	303	110	1.0
1341	926	111	4.0
1375	696	112	4.0
648	1276	113	4.0
2926	2193	114	4.0
4153	593	115	5.0
1191	1129	116	5.0
2722	1659	117	4.0
770	2016	118	3.0
679	1188	119	5.0
452	269	120	3.0
264	1341	121	3.0
3724	293	122	1.0
3667	715	123	5.0
4093	1049	124	4.0
2682	1903	125	5.0
3359	1218	126	4.0
511	975	127	4.0
804	1261	128	5.0
1553	725	129	5.0
1626	1339	130	3.0
3600	831	131	3.0
2612	1966	132	3.0
1307	1382	133	5.0
4162	2188	134	5.0
686	45	135	4.0
3917	614	136	4.0
154	1757	137	4.0
3510	323	138	4.0
1097	703	139	5.0
1037	1282	140	1.0
3665	518	141	5.0
3882	1427	142	5.0
460	380	143	1.0
2447	2159	144	3.0
2431	1018	145	3.0
1995	207	146	4.0
326	819	147	3.0
2457	866	148	4.0
1912	1531	149	5.0
1438	399	150	4.0
3080	794	151	3.0
1759	1204	152	3.0
1505	1034	153	5.0
1375	1466	154	3.0
2033	1951	155	4.0
821	661	156	1.0
3044	819	157	4.0
1074	1117	158	4.0
3484	1699	159	4.0
2397	1459	160	4.0
2648	744	161	3.0
2784	2177	162	5.0
3411	85	163	1.0
544	1618	164	3.0
2304	1851	165	4.0
3703	2072	166	5.0
3834	1703	167	5.0
1627	603	168	5.0
777	269	169	1.0
101	136	170	5.0
3521	1013	171	3.0
1846	79	172	3.0
3659	2203	173	3.0
1135	717	174	2.0
3124	1648	175	5.0
2286	2016	176	5.0
3273	1886	177	4.0
1078	1337	178	4.0
1825	2131	179	3.0
3434	291	180	4.0
1285	369	181	4.0
1400	246	182	4.0
934	1565	183	5.0
916	13	184	4.0
2869	1195	185	1.0
4107	36	186	4.0
330	2150	187	1.0
4040	758	188	5.0
2143	886	189	3.0
3256	1609	190	4.0
2424	836	191	4.0
2264	342	192	5.0
1785	1886	193	4.0
1605	539	194	3.0
3909	1657	195	5.0
3606	84	196	4.0
57	2041	197	2.0
2499	2093	198	4.0
2733	895	199	5.0
2319	435	200	5.0
1117	818	201	3.0
3017	462	202	3.0
3659	1099	203	1.0
2970	168	204	5.0
838	1657	205	4.0
4258	1928	206	3.0
3536	1732	207	5.0
3030	1777	208	4.0
3987	1800	209	5.0
3529	670	210	5.0
1506	1818	211	4.0
2177	92	212	3.0
3761	922	213	1.0
3611	1377	214	2.0
868	806	215	4.0
3934	1819	216	4.0
3715	26	217	4.0
2425	596	218	3.0
3684	1739	219	4.0
3756	1659	220	4.0
2702	1565	221	4.0
885	653	222	4.0
841	625	223	4.0
2157	185	224	3.0
3555	1485	225	4.0
1457	467	226	3.0
3151	1175	227	3.0
3241	577	228	2.0
1207	1074	229	5.0
1673	842	230	4.0
2477	1732	231	4.0
642	2045	232	4.0
334	1267	233	4.0
1518	68	234	4.0
2499	566	235	4.0
182	270	236	4.0
819	1350	237	2.0
1417	996	238	5.0
1605	92	239	4.0
2397	761	240	4.0
801	1980	241	3.0
244	771	242	5.0
2668	2177	243	5.0
2786	376	244	5.0
2831	614	245	5.0
449	376	246	3.0
2240	265	247	4.0
52	1974	248	4.0
2348	925	249	5.0
121	534	250	5.0
2972	162	251	4.0
1865	577	252	4.0
1291	905	253	1.0
2433	1346	254	5.0
3535	565	255	3.0
2285	1702	256	2.0
3105	2113	257	3.0
2245	2003	258	4.0
370	1504	259	4.0
1016	1460	260	2.0
577	1532	261	5.0
4107	166	262	4.0
2257	1553	263	5.0
2249	1206	264	2.0
1147	1084	265	4.0
1034	242	266	4.0
3579	24	267	5.0
435	1941	268	4.0
337	2029	269	4.0
2908	373	270	4.0
1557	389	271	5.0
3013	2177	272	4.0
369	1254	273	5.0
1441	1535	274	3.0
1147	2135	275	4.0
2783	1009	276	5.0
1775	65	277	5.0
944	607	278	5.0
338	89	279	5.0
4117	1532	280	5.0
3498	1966	281	3.0
751	1177	282	5.0
821	2120	283	5.0
1930	1203	284	4.0
3366	1414	285	5.0
3069	13	286	5.0
3414	1838	287	4.0
1059	36	288	5.0
397	132	289	3.0
2498	959	290	4.0
1267	161	291	2.0
2996	198	292	3.0
4176	695	293	4.0
378	2025	294	4.0
3320	405	295	3.0
1290	260	296	2.0
2711	1938	297	4.0
1719	1599	298	3.0
2143	1382	299	4.0
1638	1158	300	5.0
789	17	301	4.0
3624	1261	302	4.0
505	1047	303	4.0
1955	10	304	3.0
2472	2054	305	5.0
1043	386	306	3.0
2689	344	307	2.0
684	1599	308	5.0
3387	1573	309	5.0
1675	1528	310	5.0
4292	636	311	4.0
971	1574	312	3.0
1269	1929	313	5.0
109	1185	314	5.0
1518	1382	315	5.0
811	1953	316	5.0
1286	1580	317	4.0
832	2112	318	4.0
2962	1106	319	4.0
1445	1923	320	3.0
1898	1593	321	2.0
3737	342	322	4.0
1165	198	323	5.0
1406	1991	324	3.0
2127	2196	325	4.0
2219	555	326	4.0
4277	1169	327	3.0
2391	1928	328	1.0
1559	1466	329	5.0
106	342	330	2.0
2956	1657	331	2.0
2567	114	332	2.0
2636	466	333	3.0
1707	1693	334	5.0
420	1785	335	4.0
837	1184	336	4.0
2127	2133	337	5.0
2077	126	338	2.0
3414	1677	339	2.0
1626	862	340	4.0
4254	1434	341	2.0
311	831	342	5.0
4188	2003	343	5.0
3102	1417	344	5.0
3634	959	345	3.0
3077	2178	346	4.0
201	675	347	4.0
1369	1599	348	3.0
2097	1261	349	4.0
606	480	350	2.0
1178	1911	351	3.0
1749	988	352	3.0
3141	350	353	5.0
1276	1988	354	5.0
3062	394	355	5.0
3600	514	356	4.0
1544	1799	357	2.0
2077	1125	358	3.0
3890	1615	359	4.0
3395	1679	360	3.0
258	1659	361	5.0
2164	1060	362	2.0
1856	704	363	5.0
995	2016	364	5.0
582	399	365	5.0
3444	602	366	3.0
1122	1334	367	5.0
4041	839	368	5.0
4194	966	369	2.0
494	2052	370	5.0
3256	1103	371	4.0
2693	546	372	4.0
3834	1985	373	5.0
231	1230	374	5.0
4050	514	375	2.0
3239	2100	376	5.0
16	1112	377	4.0
607	1096	378	4.0
